Medicare_ID, Actual_PPR_Rate_All , Actual_PPR_Rate_Non-BH , Actual_PPR_Rate_BH , Target_PPR_Rate_All , Target_PPR_Rate_Non-BH , Target_PPR_Rate_BH , Actual_Over_Target_PPR_Rate_All , Actual_Over_Target_PPR_Rate_Non-BH , Actual_Over_Target_PPR_Rate_BH ,Excess_(Below)_PPR_Target
140124, 0.0844 , 0.0839 , 0.1739 , 0.0843 , 0.0840 , 0.1336 , 1.0008 , 0.9983 , 1.3017 ,0
140007, 0.0739 , 0.0692 , 0.1231 , 0.0706 , 0.0634 , 0.1458 , 1.0474 , 1.0914 , 0.8441 ,5
140029, 0.0749 , 0.0759 , -   , 0.0752 , 0.0746 , 0.1255 , 0.9965 , 1.0176 , -   ,0
140252, 0.0704 , 0.0545 , 0.2222 , 0.0719 , 0.0634 , 0.1544 , 0.9786 , 0.8603 , 1.4393 ,-1
140130, 0.0526 , 0.0528 , -   , 0.0500 , 0.0498 , 0.0996 , 1.0526 , 1.0606 , -   ,1
140065, 0.0680 , 0.0680 , -   , 0.0759 , 0.0759 , -   , 0.8954 , 0.8954 , -   ,-2
140202, 0.0535 , 0.0536 , -   , 0.0576 , 0.0574 , 0.1592 , 0.9295 , 0.9345 , -   ,-4
140240, 0.1460 , 0.0898 , 0.2294 , 0.1158 , 0.0717 , 0.1813 , 1.2610 , 1.2522 , 1.2651 ,16
140008, 0.1062 , 0.1065 , -   , 0.0828 , 0.0827 , 0.0996 , 1.2822 , 1.2881 , -   ,7
140276, 0.0691 , 0.0689 , 0.2000 , 0.0629 , 0.0628 , 0.0922 , 1.0992 , 1.0969 , 2.1692 ,16
140231, 0.0877 , 0.0879 , -   , 0.0699 , 0.0699 , 0.0996 , 1.2553 , 1.2574 , -   ,11
144035, 0.2143 , -   , 0.2143 , 0.1380 , -   , 0.1380 , 1.5528 , -   , 1.5528 ,1
140049, 0.1299 , 0.1305 , -   , 0.0980 , 0.0976 , 0.1666 , 1.3250 , 1.3370 , -   ,26
140063, 0.1464 , 0.1464 , -   , 0.1011 , 0.1011 , -   , 1.4484 , 1.4484 , -   ,13
140208, 0.0740 , 0.0725 , 0.1379 , 0.0652 , 0.0634 , 0.1474 , 1.1343 , 1.1441 , 0.9358 ,35
140223, 0.0625 , 0.0623 , 0.0732 , 0.0652 , 0.0635 , 0.1438 , 0.9586 , 0.9807 , 0.5088 ,-5
140062, 0.0795 , 0.0814 , -   , 0.0837 , 0.0820 , -   , 0.9495 , 0.9921 , -   ,-1
144031, -   , -   , -   , 0.1609 , 0.1209 , 0.1622 , -   , -   , -   ,-5
140051, 0.1220 , 0.1224 , -   , 0.0906 , 0.0906 , -   , 1.3470 , 1.3515 , -   ,19
140304, 0.0543 , 0.0544 , -   , 0.0758 , 0.0757 , -   , 0.7162 , 0.7192 , -   ,-8
140054, 0.1154 , 0.0740 , 0.1996 , 0.1075 , 0.0740 , 0.1754 , 1.0733 , 0.9993 , 1.1377 ,11
140118, 0.1328 , 0.1333 , -   , 0.0960 , 0.0957 , 0.1636 , 1.3831 , 1.3932 , -   ,18
140291, 0.0741 , 0.0741 , -   , 0.0776 , 0.0776 , -   , 0.9546 , 0.9546 , -   ,-1
140033, 0.1020 , -   , 0.1020 , 0.1465 , -   , 0.1465 , 0.6965 ,, 0.6965 ,-7
140084, 0.0550 , 0.0550 , -   , 0.0596 , 0.0595 , 0.0981 , 0.9221 , 0.9245 , -   ,-5
140242, 0.0653 , 0.0596 , 0.2083 , 0.0621 , 0.0584 , 0.1575 , 1.0507 , 1.0212 , 1.3228 ,4
140197, 0.2084 , 0.1389 , 0.2395 , 0.1798 , 0.1296 , 0.2023 , 1.1589 , 1.0717 , 1.1839 ,27
140088, 0.0995 , 0.0987 , 0.3077 , 0.0766 , 0.0764 , 0.1272 , 1.2992 , 1.2925 , 2.4190 ,81
143300, 0.0693 , 0.0693 ,, 0.0556 , 0.0556 , -   , 1.2467 , 1.2467 ,,60
140133, 0.1512 , 0.1490 , 0.4000 , 0.1084 , 0.1078 , 0.1732 , 1.3948 , 1.3819 , 2.3095 ,48
143301, 0.1631 , 0.1631 ,, 0.0757 , 0.0757 , -   , 2.1548 , 2.1548 ,,25
140083, 0.1812 , 0.1658 , 0.1956 , 0.1566 , 0.1229 , 0.1880 , 1.1574 , 1.3490 , 1.0404 ,19
140158, 0.1242 , 0.1050 , 0.2460 , 0.1098 , 0.0968 , 0.1925 , 1.1315 , 1.0850 , 1.2778 ,26
140018, 0.1284 , 0.1113 , 0.2526 , 0.0935 , 0.0800 , 0.1913 , 1.3737 , 1.3913 , 1.3202 ,113
140206, 0.1657 , 0.1077 , 0.2512 , 0.1247 , 0.0788 , 0.1923 , 1.3289 , 1.3670 , 1.3062 ,43
140119, 0.1184 , 0.1102 , 0.2287 , 0.0944 , 0.0886 , 0.1732 , 1.2537 , 1.2443 , 1.3206 ,66
140300, 0.0606 , 0.0606 ,, 0.0927 , 0.0927 , -   , 0.6538 , 0.6538 ,,-7
140103, 0.1879 , 0.1609 , 0.2284 , 0.1388 , 0.1000 , 0.1972 , 1.3536 , 1.6092 , 1.1583 ,64
140224, 0.1842 , 0.1298 , 0.2979 , 0.1270 , 0.0974 , 0.1890 , 1.4501 , 1.3324 , 1.5760 ,33
140180, 0.1807 , 0.1110 , 0.2932 , 0.1263 , 0.0879 , 0.1884 , 1.4303 , 1.2629 , 1.5564 ,195
140048, 0.1265 , 0.1265 ,, 0.0946 , 0.0946 , -   , 1.3372 , 1.3372 ,,37
140114, 0.1052 , 0.0969 , 0.1804 , 0.0918 , 0.0822 , 0.1792 , 1.1455 , 1.1786 , 1.0068 ,26
140151, 0.1679 , 0.1686 , -   , 0.1106 , 0.1102 , 0.1978 , 1.5184 , 1.5298 , -   ,15
140117, 0.0769 , 0.0769 ,, 0.0854 , 0.0854 , -   , 0.9007 , 0.9007 ,,-4
140082, 0.1511 , 0.1505 , 0.1765 , 0.1233 , 0.1223 , 0.1707 , 1.2251 , 1.2309 , 1.0338 ,24
140181, 0.1633 , 0.1625 , 0.2000 , 0.1019 , 0.0998 , 0.2042 , 1.6022 , 1.6283 , 0.9794 ,30
140177, 0.2177 , 0.1506 , 0.2702 , 0.1578 , 0.1010 , 0.2022 , 1.3795 , 1.4910 , 1.3363 ,81
140179, 0.0938 , 0.0941 , -   , 0.0943 , 0.0942 , 0.1235 , 0.9942 , 0.9985 , -   ,0
140182, 0.1312 , 0.1097 , 0.2125 , 0.1056 , 0.0828 , 0.1920 , 1.2424 , 1.3246 , 1.1070 ,35
140095, 0.1256 , 0.0619 , 0.3333 , 0.0928 , 0.0618 , 0.1940 , 1.3531 , 1.0014 , 1.7182 ,44
140251, 0.1087 , 0.1077 , 1.0000 , 0.0978 , 0.0978 , 0.0981 , 1.1117 , 1.1008 , 10.1937 ,9
140150, 0.1401 , 0.1360 , 0.2022 , 0.0930 , 0.0883 , 0.1668 , 1.5059 , 1.5405 , 1.2121 ,141
140172, 0.0766 , 0.0766 , -   , 0.0738 , 0.0738 , -   , 1.0379 , 1.0379 ,,3
140115, 0.1966 , 0.1716 , 0.2514 , 0.1383 , 0.1142 , 0.1913 , 1.4214 , 1.5030 , 1.3140 ,34
140068, 0.1930 , 0.1912 , 0.5000 , 0.1275 , 0.1273 , 0.1599 , 1.5136 , 1.5018 , 3.1270 ,22
140281, 0.1310 , 0.1310 , 0.1319 , 0.1084 , 0.1048 , 0.1778 , 1.2087 , 1.2498 , 0.7417 ,42
144026, 0.1525 , -   , 0.1525 , 0.1862 ,, 0.1862 , 0.8192 ,, 0.8192 ,-2
143302, -   , -   , -   , 0.0294 , 0.0294 , -   , -   , -   ,,-2
140288, 0.0748 , 0.0766 , 0.0588 , 0.0846 , 0.0783 , 0.1407 , 0.8842 , 0.9781 , 0.4181 ,-5
140030, 0.0621 , 0.0621 , -   , 0.0529 , 0.0529 , -   , 1.1738 , 1.1738 ,,7
140217, 0.1303 , 0.1221 , 0.1407 , 0.1168 , 0.0881 , 0.1533 , 1.1155 , 1.3858 , 0.9181 ,4
140200, 0.0508 , 0.0510 , -   , 0.0746 , 0.0744 , 0.1831 , 0.6816 , 0.6851 , -   ,-10
140010, 0.1066 , 0.1030 , 0.1563 , 0.0863 , 0.0811 , 0.1587 , 1.2350 , 1.2703 , 0.9846 ,19
140080, 0.1152 , 0.1146 , 0.2500 , 0.0926 , 0.0922 , 0.1835 , 1.2439 , 1.2431 , 1.3624 ,22
140258, 0.0864 , 0.0867 , -   , 0.0716 , 0.0713 , 0.1617 , 1.2073 , 1.2165 , -   ,9
144009, 0.1087 , -   , 0.1087 , 0.1885 , -   , 0.1885 , 0.5766 ,, 0.5766 ,-7
140211, 0.0584 , 0.0596 , -   , 0.0685 , 0.0669 , 0.1500 , 0.8532 , 0.8909 , -   ,-2
140292, 0.1311 , 0.0701 , 0.1634 , 0.1460 , 0.0855 , 0.1780 , 0.8977 , 0.8198 , 0.9178 ,-9
140191, 0.1160 , 0.0940 , 0.1757 , 0.0950 , 0.0703 , 0.1620 , 1.2210 , 1.3370 , 1.0848 ,19
140122, 0.0631 , 0.0602 , 0.0882 , 0.0728 , 0.0648 , 0.1433 , 0.8663 , 0.9290 , 0.6157 ,-3
140250, 0.0822 , 0.0825 , -   , 0.0729 , 0.0726 , 0.1338 , 1.1275 , 1.1366 , -   ,5
140290, 0.0596 , 0.0597 , -   , 0.0583 , 0.0583 , 0.0988 , 1.0217 , 1.0234 , -   ,1
