PROV, Corrected FY 2015  Readmissions Adjustment Factor,Number of Pneumonia Cases,Excess Readmission Ratio for Pneumonia,Number of Heart Failure Cases,Excess Readmission Ratio for Heart Failure,Number of Acute Myocardial Infarction Cases,Acute Myocardial Infarction Excess Readmission Ratio,Number of Hip/Knee Arthroplasty Cases,Hip/Knee Arthroplasty Excess Readmission Ratio,Number of Chronic Obstructive Pulmonary Disease Cases,Chronic Obstructive Pulmonary Disease Excess Readmission Ratio,,,,
140001,0.9805,254,1.066520958,164,1.091718999,12,0,92,1.101793935,207,1.08670549,,,,
140002,0.9924,386,1.026780898,398,1.079523001,110,0.881620403,193,1.088096507,300,1.015414483,,,,
140007,0.9734,717,1.101637356,1334,1.174352558,605,1.178201261,650,1.326488699,1349,1.173035053,,,,
140008,0.9984,243,1.049014053,469,0.981258517,194,0.952032005,400,0.863782419,326,1.023302823,,,,
140010,0.9997,1687,0.972209683,2112,0.962725886,717,1.015715042,1956,0.754927403,1007,0.993036623,,,,
140011,0.9890,538,1.144807081,296,0.959793341,46,0.990704912,341,0.880553924,597,1.077546829,,,,
140012,0.9921,208,0.991708068,224,1.085092776,110,1.047996823,75,1.083167228,274,1.037597408,,,,
140013,0.9918,411,1.167144736,345,0.97046564,130,0.968029149,746,0.867121181,296,1.108816472,,,,
140015,0.9913,880,1.019589439,837,0.957554414,424,1.04649288,172,1.285364542,754,1.055025682,,,,
140018,0.9966,121,0.990125081,160,1.068441475,111,1.093420205,21,0,108,0.97277609,,,,
140019,0.9958,162,0.937822436,155,0.977654453,5,0,0,0,122,1.051614036,,,,
140026,0.9902,295,1.08667507,190,0.926455502,38,1.062132245,64,0.993780781,184,1.076030103,,,,
140029,0.9997,458,0.882746286,427,0.862693853,192,0.900239492,482,1.006178897,295,0.885943717,,,,
140030,0.9955,690,1.058382017,740,0.975465978,284,0.902512576,590,1.064561376,604,0.93654173,,,,
140032,0.9989,327,1.028360551,422,0.923677094,63,1.073905767,772,0.990268044,512,0.983713133,,,,
140034,0.9816,368,1.132198492,464,1.21256459,69,1.072396004,124,1.069086787,617,1.053119712,,,,
140040,0.9802,289,1.135559393,225,1.09512328,43,1.037116637,180,1.171823134,272,1.037096988,,,,
140043,0.9972,337,1.016442182,365,0.968883424,99,0.995255727,280,0.992007401,498,1.049658588,,,,
140046,0.9941,303,1.045108191,406,0.987592812,337,1.094109896,296,0.813511202,313,1.011861477,,,,
140048,0.9887,216,1.029098008,413,1.152540792,99,1.067135167,51,1.200895396,480,1.101080267,,,,
140049,0.9973,174,1.084160229,335,1.01027569,108,1.045080917,151,0.925703439,218,0.969055213,,,,
140051,0.9992,481,0.965325194,755,1.009586832,242,1.007207958,750,0.83122161,213,1.02165531,,,,
140052,0.9848,209,0.9962448,216,1.186056099,78,1.082993073,150,1.076758782,191,1.13825995,,,,
140053,0.9997,337,1.010653504,984,0.922467464,817,0.933241236,616,1.007560711,470,0.907163777,,,,
140054,0.9953,351,0.987949762,480,0.881727309,227,1.003794524,199,1.217244229,362,0.97164523,,,,
140058,0.9984,460,0.984538832,243,1.036483606,13,0,330,0.953086761,286,1.00383584,,,,
140059,0.9816,314,1.108400707,193,1.052198647,40,0.970766314,0,0,130,0.998882192,,,,
140062,0.9914,1423,1.095360701,1554,1.078080523,454,1.0469939,915,0.938404929,1201,1.020203975,,,,
140063,0.9925,150,0.99320797,300,1.057959276,54,1.065369417,172,1.121825545,207,0.991945348,,,,
140064,0.9959,332,0.938007036,240,0.999446765,63,1.103722406,206,0.894236163,339,1.058099439,,,,
140065,0.9858,526,0.944536155,725,0.903435901,181,1.045361429,354,1.394697052,486,0.9696351,,,,
140067,0.9978,641,1.015994804,791,0.92741215,625,0.955522014,571,1.072804305,632,1.035911614,,,,
140068,0.9846,97,1.124988888,158,1.138842894,29,1.015818388,0,0,107,1.150551054,,,,
140077,0.9948,47,1.037669833,59,1.125683188,8,0,2,0,30,1.005551879,,,,
140080,0.9916,273,1.066197936,401,1.115677435,148,1.080978665,218,1.026105209,247,1.070371649,,,,
140082,0.9846,126,1.014880058,239,1.037971974,132,1.080067378,277,1.31486237,202,1.004848795,,,,
140083,0.9974,81,1.060366175,67,1.046298259,10,0,0,0,99,1.035708161,,,,
140084,0.9944,526,1.027258601,594,1.053206019,126,0.971211139,172,1.092793577,584,1.025161156,,,,
140088,0.9946,153,1.084048699,614,1.068181328,161,1.052395744,392,1.122969147,185,0.896048508,,,,
140089,0.9982,207,0.950593688,176,1.008847684,20,0,79,1.028119317,174,0.98399516,,,,
140091,0.9968,302,0.995521811,702,0.904141419,440,1.052668708,540,1.032838083,323,1.012126731,,,,
140093,0.9826,302,1.149676225,466,1.207897168,92,0.993489322,58,1.028069842,521,1.041285065,,,,
140095,0.9981,105,1.03820607,100,1.035076438,15,0,6,0,146,0.976393847,,,,
140100,1.0000,9,0,4,0,2,0,0,0,8,0,,,,
140101,0.9934,396,0.954439625,295,0.923343981,102,1.015284594,319,1.052146993,276,1.05875134,,,,
140103,0.9857,141,1.148799409,227,1.110127394,11,0,0,0,184,1.12818203,,,,
140110,0.9813,379,1.073650675,199,1.066857985,27,1.064555719,71,1.138341106,273,1.071029445,,,,
140113,0.9862,210,1.007965079,444,1.007608111,242,1.069798513,195,1.274565685,409,1.087564514,,,,
140114,0.9946,582,0.998848604,601,1.109728154,296,0.988268936,174,0.961893653,458,1.09054657,,,,
140115,0.9981,75,1.107525104,111,1.011138629,14,0,7,0,165,0.948103086,,,,
140116,0.9924,526,1.069983782,659,1.090186921,448,0.977213529,374,1.050692678,587,0.936476774,,,,
140117,1.0000,453,0.889625604,1309,0.996301438,603,0.987356359,393,0.978235592,487,0.987105531,,,,
140118,0.9891,247,1.162643712,676,1.04343316,131,1.087946759,183,1.088266863,415,1.116899307,,,,
140119,0.9883,309,1.120396045,663,1.032173312,199,0.945341918,1609,1.187997255,245,1.090173112,,,,
140120,0.9740,367,1.221678778,213,1.053867441,51,1.090681089,165,1.007836704,297,1.176465647,,,,
140122,0.9889,467,0.908338919,528,0.956842978,130,1.02917528,713,1.153771657,261,0.956695526,,,,
140124,0.9977,86,1.013243582,196,1.038366584,59,1.055749002,0,0,176,1.041431865,,,,
140125,0.9929,152,1.09626055,216,1.071566688,110,1.0719576,208,0.904432803,189,1.037362564,,,,
140127,0.9884,271,0.83890222,441,0.946406223,203,0.921588664,571,1.144376321,267,0.958830821,,,,
140130,0.9821,416,0.961730808,324,0.933961912,64,1.023213592,638,1.142512486,168,0.987682791,,,,
140133,0.9886,193,1.227077897,425,1.033273368,103,0.989902822,100,1.182026496,405,1.097348043,,,,
140135,1.0000,610,0.959516526,696,0.985345946,246,0.991015087,733,0.903975189,587,0.931287766,,,,
140137,0.9992,111,0.950380092,77,0.936635893,11,0,0,0,39,1.026087563,,,,
140143,0.9976,276,1.021798258,177,0.962106408,10,0,269,1.00951596,154,0.966803456,,,,
140145,0.9987,91,1.010795568,96,0.949374484,8,0,23,0,93,1.021934822,,,,
140147,0.9779,306,1.103068274,190,1.116578613,28,1.002856883,5,0,168,1.102954949,,,,
140148,0.9988,908,0.982996577,1035,0.962579072,751,0.927395052,1461,1.025670116,731,0.980208413,,,,
140150,0.9982,160,0.93166947,293,1.068732377,86,1.068609881,81,0.989626943,148,1.007033951,,,,
140151,0.9919,33,1.02665211,189,1.201256495,0,0,23,0,161,0.960041405,,,,
140155,0.9861,362,1.170188269,246,1.058484678,48,0.963007217,184,1.250012513,332,0.963352808,,,,
140158,0.9920,293,1.044898517,766,1.030577689,231,1.124798814,133,1.141034732,482,1.046085843,,,,
140160,0.9957,376,1.027599657,300,1.059722598,66,0.993032325,239,0.908597565,304,1.023041749,,,,
140161,1.0000,103,0.980993795,93,0.978556419,10,0,79,0.987120342,100,0.94109501,,,,
140162,0.9999,280,0.992156862,347,1.002201202,185,0.907733997,337,0.803590303,191,0.945072467,,,,
140164,0.9974,400,1.036797023,396,1.018590637,523,0.974910534,535,0.810836143,338,1.077830286,,,,
140166,0.9938,307,0.96544839,457,1.084054472,186,0.894462904,208,1.050450714,387,1.035342144,,,,
140167,1.0000,160,0.925589224,114,0.96571054,40,0.997427248,44,0.926996544,210,0.95251319,,,,
140172,0.9841,623,1.108666939,1248,1.143948045,475,1.090275621,261,1.216488053,744,1.080511923,,,,
140174,0.9983,351,0.995022391,264,0.904306772,153,1.059070252,199,0.980289836,245,0.956428173,,,,
140176,0.9861,324,1.026325403,277,1.035935405,75,0.983821987,431,1.151587472,334,1.011624333,,,,
140177,0.9926,80,1.01472203,142,1.191286919,12,0,1,0,109,1.136831652,,,,
140179,0.9841,475,1.13862477,811,1.110597432,118,1.092526268,179,1.413331891,575,1.066490079,,,,
140180,0.9923,258,1.012333456,379,1.140753724,149,1.141383083,80,0.988825886,421,1.108153763,,,,
140181,0.9948,135,1.092600142,197,1.032720787,21,0,0,0,187,1.058213094,,,,
140182,0.9898,314,1.14845832,344,1.03350311,131,1.085960035,124,1.146079278,225,1.202845287,,,,
140184,0.9891,312,1.169672265,163,1.006903901,85,1.056133381,137,0.836057486,246,1.089771091,,,,
140185,0.9956,534,1.186392671,906,0.94670406,352,1.011687201,519,0.990850477,782,0.925844408,,,,
140186,1.0000,531,0.981465479,552,0.959086975,233,0.944083155,792,0.923944434,551,0.949852101,,,,
140187,0.9942,269,1.020050766,574,0.995486738,335,1.056616429,106,1.072628556,237,1.138294175,,,,
140189,0.9834,471,0.956652645,531,1.111176442,100,1.071219949,253,1.089824723,594,1.095102381,,,,
140191,0.9706,430,1.123633996,952,1.139529147,352,1.212588467,855,1.240861747,520,1.039127007,,,,
140197,0.9988,114,1.026797034,64,0.938542625,8,0,6,0,84,1.039105386,,,,
140200,0.9950,695,0.974334816,922,0.943968683,286,1.046651047,693,1.080640336,699,0.886817162,,,,
140202,0.9977,661,1.00317496,893,1.039620272,351,0.950699641,345,0.977855434,730,1.03114264,,,,
140206,0.9959,83,1.056464968,126,1.040599656,24,0,1,0,146,1.074188984,,,,
140208,0.9799,812,1.102563176,1631,0.957743453,695,1.131067907,965,1.575980875,1085,0.967701208,,,,
140209,0.9956,386,1.037735814,514,1.056228173,297,1.033655462,405,0.903606202,447,1.081389235,,,,
140210,0.9920,373,1.05183402,142,1.019786443,13,0,0,0,164,0.965835732,,,,
140211,0.9996,571,0.915175644,461,0.962136689,118,0.92978154,481,1.003474606,277,1.009432172,,,,
140213,0.9856,850,1.114665712,1082,1.077973311,323,1.150916065,443,0.95284704,773,1.155127435,,,,
140217,0.9935,376,1.043869748,331,1.006418535,109,1.081754223,322,1.059965477,267,1.023194967,,,,
140223,0.9890,670,1.176908856,1127,1.007100981,377,1.023403059,1516,1.09112611,686,1.17027944,,,,
140224,0.9888,230,0.993511325,543,1.065089835,148,1.108984196,156,1.354544193,225,0.962031257,,,,
140228,0.9916,596,0.999564618,618,1.032589804,224,0.960912756,573,1.105086486,492,1.135848311,,,,
140231,0.9967,867,0.913302751,897,0.872055273,260,0.930160175,829,1.068422846,692,0.951636738,,,,
140233,0.9978,622,1.067499393,580,0.914593219,284,1.015213224,558,0.996589799,471,0.99617681,,,,
140234,0.9945,257,0.972502086,232,0.983578126,22,0,342,0.896218752,212,1.152455881,,,,
140239,0.9955,527,0.868164395,440,1.007298364,301,0.967044331,330,1.131555179,469,1.020196467,,,,
140240,0.9952,110,0.947626525,254,1.07635245,60,1.023987793,26,1.015609483,146,1.0051191,,,,
140242,1.0000,599,0.952627341,1014,0.878110742,206,0.995985522,1974,0.894344576,641,0.952552745,,,,
140250,0.9952,395,1.0852793,481,1.018317499,198,1.070696144,257,1.032771731,550,0.937333819,,,,
140251,0.9990,283,1.050034443,585,0.937959216,256,0.943744777,83,0.967353664,445,0.897228107,,,,
140252,0.9961,1231,0.977355539,1160,0.979290544,541,1.150783106,1113,0.945285354,935,0.901325731,,,,
140258,0.9956,892,1.026183222,1025,0.976899404,351,1.003508754,901,1.082288243,865,0.935874676,,,,
140275,0.9918,320,1.101967231,349,1.062233579,193,1.003866178,190,0.782550183,268,1.007363975,,,,
140276,0.9984,434,1.07952134,720,0.974757556,288,0.983197346,262,0.942902876,249,1.112636462,,,,
140280,0.9991,646,1.018113151,714,0.977469645,708,1.008532892,553,0.786238788,526,0.986977314,,,,
140281,0.9802,732,1.100617872,1158,1.02141972,265,1.072366798,1658,1.402619678,420,1.085513778,,,,
140286,0.9928,451,0.984299655,337,1.026451251,89,0.981497332,317,1.035156742,395,1.101408757,,,,
140288,0.9948,776,0.946470931,793,0.891785525,249,0.979158602,697,1.135851415,777,0.948283674,,,,
140289,0.9995,358,0.940554759,369,0.900598301,188,0.997428384,354,0.806459226,231,1.018993043,,,,
140290,0.9973,733,1.042403012,641,1.032052496,226,1.013980052,483,0.997657987,667,0.976883241,,,,
140291,0.9998,470,0.97444969,638,0.901985849,323,1.004913435,385,0.942099664,378,0.999267905,,,,
140292,0.9996,84,0.995124211,133,0.996374148,44,0.972349301,24,0,92,1.023105097,,,,
140294,0.9870,213,1.102268554,80,1.14380733,16,0,130,1.012945591,135,1.017757697,,,,
140300,0.9971,27,0.985227018,63,1.038508718,1,0,0,0,39,1.011266525,,,,
140304,0.9949,207,1.116109646,278,0.996396269,83,1.066546403,24,0,175,1.003388903,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
