Medicare_ID,Actual_PPR_Rate_All,Actual_PPR_Rate_Non-BH,Actual_PPR_Rate_BH,Target_PPR_Rate_All,Target_PPR_Rate_Non-BH,Target_PPR_Rate_BH,Actual_Over_Target_PPR_Rate_All,Actual_Over_Target_PPR_Rate_Non-BH,Actual_Over_Target_PPR_Rate_BH,Excess_(Below)_PPR_Target
140124,8.44%,8.39%,17.39%,8.43%,8.40%,13.36%,100.08%,99.83%,130.17%,0
140007,7.39%,6.92%,12.31%,7.06%,6.34%,14.58%,104.74%,109.14%,84.41%,5
140029,7.49%,7.59%,0.00%,7.52%,7.46%,12.55%,99.65%,101.76%,0.00%,0
140252,7.04%,5.45%,22.22%,7.19%,6.34%,15.44%,97.86%,86.03%,143.93%,-1
140130,5.26%,5.28%,0.00%,5.00%,4.98%,9.96%,105.26%,106.06%,0.00%,1
140065,6.80%,6.80%,0.00%,7.59%,7.59%,0.00%,89.54%,89.54%,0.00%,-2
140202,5.35%,5.36%,0.00%,5.76%,5.74%,15.92%,92.95%,93.45%,0.00%,-4
140240,14.60%,8.98%,22.94%,11.58%,7.17%,18.13%,126.10%,125.22%,126.51%,16
140008,10.62%,10.65%,0.00%,8.28%,8.27%,9.96%,128.22%,128.81%,0.00%,7
140276,6.91%,6.89%,20.00%,6.29%,6.28%,9.22%,109.92%,109.69%,216.92%,16
140231,8.77%,8.79%,0.00%,6.99%,6.99%,9.96%,125.53%,125.74%,0.00%,11
144035,21.43%,0.00%,21.43%,13.80%,0.00%,13.80%,155.28%,0.00%,155.28%,1
140049,12.99%,13.05%,0.00%,9.80%,9.76%,16.66%,132.50%,133.70%,0.00%,26
140063,14.64%,14.64%,0.00%,10.11%,10.11%,0.00%,144.84%,144.84%,0.00%,13
140208,7.40%,7.25%,13.79%,6.52%,6.34%,14.74%,113.43%,114.41%,93.58%,35
140223,6.25%,6.23%,7.32%,6.52%,6.35%,14.38%,95.86%,98.07%,50.88%,-5
140062,7.95%,8.14%,0.00%,8.37%,8.20%,0.00%,94.95%,99.21%,0.00%,-1
144031,0.00%,0.00%,0.00%,16.09%,12.09%,16.22%,0.00%,0.00%,0.00%,-5
140051,12.20%,12.24%,0.00%,9.06%,9.06%,0.00%,134.70%,135.15%,0.00%,19
140304,5.43%,5.44%,0.00%,7.58%,7.57%,0.00%,71.62%,71.92%,0.00%,-8
140054,11.54%,7.40%,19.96%,10.75%,7.40%,17.54%,107.33%,99.93%,113.77%,11
140118,13.28%,13.33%,0.00%,9.60%,9.57%,16.36%,138.31%,139.32%,0.00%,18
