FY 2015 IPPS Final Rule: Hospital Readmissions Reduction Program-Supplemental Data-                                                  Reflects Corrections from October 2014 Correction Notice,,,,,,,,,,,,,,,
PROV, Corrected FY 2015  Readmissions Adjustment Factor,Number of Pneumonia Cases,Excess Readmission Ratio for Pneumonia,Number of Heart Failure Cases,Excess Readmission Ratio for Heart Failure,Number of Acute Myocardial Infarction Cases,Acute Myocardial Infarction Excess Readmission Ratio,Number of Hip/Knee Arthroplasty Cases,Hip/Knee Arthroplasty Excess Readmission Ratio,Number of Chronic Obstructive Pulmonary Disease Cases,Chronic Obstructive Pulmonary Disease Excess Readmission Ratio,,,,
010001,0.9968,393,1.017987326,930,0.888694408,739,1.016814051,345,1.034179561,715,1.07999877,,,,
010005,0.9929,544,0.996970616,330,0.89522935,30,0.951875861,198,1.229761578,520,0.948621089,,,,
010006,1.0000,752,0.973554876,694,0.852850431,297,0.903099104,363,0.801897611,664,0.955893885,,,,
010007,0.9961,201,0.989053957,111,1.052576969,8,0,23,0,137,1.037964732,,,,
010008,0.9990,61,0.992583866,39,1.028412835,4,0,0,0,70,0.983882675,,,,
010011,0.9965,529,0.965440588,379,0.896141572,256,1.018833468,398,1.076272831,298,0.983008841,,,,
010012,0.9927,259,1.094724807,163,1.020197641,94,1.009674979,65,1.017291337,278,1.026067781,,,,
010016,0.9918,364,1.025911688,389,0.996799715,258,1.060057569,193,1.231889627,319,0.906729091,,,,
010018,1.0000,0,0,0,0,0,0,0,0,0,0,,,,
010019,0.9989,396,0.958841502,337,0.98676111,27,1.008672598,311,0.892895329,417,1.035493566,,,,
010021,0.9913,163,1.072226572,77,0.923356108,11,0,36,1.102682914,118,1.022242011,,,,
010022,1.0000,110,0.972940265,48,0.975885331,3,0,0,0,123,0.926664159,,,,
010023,0.9933,198,1.084994763,578,1.057007665,399,1.091318554,437,1.043108563,276,0.938292636,,,,
010024,0.9956,335,0.905373716,578,0.996905072,289,0.927031962,399,1.132591524,421,0.978486489,,,,
010025,0.9978,116,0.933297327,215,1.015992414,45,1.037823233,38,1.05028668,130,0.981805008,,,,
010027,1.0000,44,0.961201649,13,0,1,0,0,0,15,0,,,,
010029,0.9927,300,0.91654736,741,0.944965094,305,1.164544842,613,1.055735044,431,0.918732467,,,,
010032,0.9903,112,1.082290598,43,1.016176437,6,0,0,0,64,0.972519834,,,,
010033,0.9939,505,1.237137184,661,1.054036015,314,1.187130357,254,1.233082978,273,1.061897282,,,,
010034,0.9992,100,1.016541794,126,0.994973003,6,0,0,0,118,0.944814843,,,,
010035,0.9909,478,1.053810304,509,0.969489068,103,0.936986266,343,1.103309725,351,1.039999314,,,,
010036,1.0000,259,0.983013763,172,0.969350078,5,0,160,0.938684452,269,0.965370657,,,,
010038,0.9921,228,1.039052735,230,1.091247006,53,1.054177899,77,1.09438848,350,1.011121181,,,,
010039,0.9998,984,0.926454394,1799,0.995689067,1203,0.989228516,1730,1.003975887,1242,0.967367123,,,,
010040,0.9889,535,0.957745722,470,0.994739686,210,1.002298958,331,1.385331802,505,0.947396368,,,,
010043,0.9986,46,1.015959855,23,0,1,0,0,0,51,0.942600675,,,,
010044,1.0000,162,0.928849753,58,0.949800015,3,0,0,0,129,0.968401095,,,,
010045,0.9897,186,1.078539939,112,0.974901607,11,0,0,0,195,1.056038073,,,,
010046,0.9862,358,1.104667556,417,1.112378649,93,1.100342771,211,1.200483131,452,1.006524167,,,,
010047,0.9939,123,0.962473375,45,1.007685491,12,0,0,0,90,1.110210324,,,,
010049,0.9918,206,0.986611347,135,1.175439076,12,0,173,0.900841387,300,1.075716981,,,,
010050,1.0000,0,0,0,0,0,0,0,0,0,0,,,,
010051,0.9976,30,0.979570463,46,1.038017979,0,0,0,0,96,0.979447322,,,,
010052,0.9943,99,1.033651465,32,0.985088251,5,0,0,0,81,1.054369026,,,,
010054,0.9932,225,1.033585379,188,1.051894719,22,0,58,0.950844333,235,1.069996429,,,,
010055,0.9981,497,0.991362683,596,1.041572419,355,1.022929641,546,0.936483128,416,0.984303317,,,,
010056,0.9841,538,0.969910186,555,1.003127206,291,1.112832394,1401,1.176179662,544,1.017390262,,,,
010058,0.9961,59,1.030084976,12,0,2,0,0,0,10,0,,,,
010059,0.9966,151,0.888006437,89,1.068186562,17,0,0,0,157,1.009820123,,,,
010061,0.9924,369,1.033330104,166,1.049135649,20,0,21,0,399,1.053047809,,,,
010062,1.0000,205,0.983500598,106,0.93348381,11,0,0,0,174,0.978331284,,,,
010065,0.9968,203,0.988840412,216,0.934337261,60,0.959375965,85,1.120473045,232,0.952555926,,,,
010066,0.9970,43,0.968545341,41,1.029687105,1,0,0,0,31,0.983691685,,,,
010069,0.9965,126,0.979745798,114,1.011125844,5,0,0,0,98,1.065290648,,,,
010073,0.9922,111,0.932534531,78,1.080057935,13,0,0,0,153,1.063731672,,,,
010078,0.9929,422,1.053567997,651,1.000685143,428,1.123953874,342,1.030836343,554,0.974010071,,,,
010079,0.9991,264,0.967711741,207,1.015972179,7,0,75,0.967053196,428,1.005189564,,,,
010083,0.9910,347,0.922181828,321,0.987764085,44,1.00455863,115,1.318365467,321,0.918217404,,,,
010085,0.9965,427,1.043679995,531,0.923126911,60,0.929375829,361,1.042035495,409,0.959518319,,,,
010086,0.9972,260,0.991161848,90,0.916788002,22,0,21,0,207,1.054774666,,,,
010087,1.0000,22,0,20,0,11,0,2,0,23,0,,,,
010089,0.9865,313,0.969163253,249,1.03356661,57,0.985780945,255,1.232135617,387,1.00495903,,,,
010090,0.9908,559,1.062496937,605,0.933652093,225,0.964869234,550,1.183462892,424,0.965343925,,,,
010091,1.0000,57,0.939349937,83,0.995568316,4,0,0,0,120,0.915943247,,,,
010092,0.9876,1045,1.052238878,1082,1.002829733,446,1.233794024,600,1.275682074,1160,1.014260633,,,,
010095,1.0000,48,0.957030453,36,0.948620762,4,0,0,0,13,0,,,,
010097,0.9982,78,1.014103083,54,1.025496987,8,0,0,0,57,0.991759939,,,,
010099,0.9915,165,1.075942347,102,1.052247665,14,0,0,0,139,1.063199241,,,,
010100,0.9966,216,0.906129556,358,0.931624952,229,1.059621493,643,1.008542595,179,0.917838442,,,,
010101,0.9979,111,0.991761015,176,0.971403495,18,0,0,0,158,1.053160634,,,,
010102,1.0000,35,0.958532011,16,0,3,0,0,0,13,0,,,,
010103,1.0000,364,0.97973626,534,0.933489914,358,0.971174579,283,0.874564357,326,0.982608569,,,,
